Scientific Name,Scientific Name,Averages
Acanthochromis polyacanthus,Pomacentrus moluccensis,10.0
Chrysiptera rex,Pomacentrus adelus,4.0
Halichoeres marginatus,Stethojulis strigiventer,9.0
Halichoeres melanurus,Pomacentrus vaiuli,5.0
Plectroglyphidodon dickii,Plectroglyphidodon dickii,7.2
Plectroglyphidodon lacrymatus,Pomacentrus bankanensis,7.75
Pomacentrus adelus,Stegastes fasciolatus,6.5
Pomacentrus bankanensis,Chrysiptera rex,5.4
Pomacentrus coelestis,Pomacentrus coelestis,2.6666666666666665
Pomacentrus moluccensis,Halichoeres marginatus,5.5
Pomacentrus vaiuli,Plectroglyphidodon lacrymatus,6.0
Stegastes fasciolatus,Thalassoma lunare,8.5
Stethojulis strigiventer,Halichoeres melanurus,10.5
Thalassoma lunare,Acanthochromis polyacanthus,9.0
Zanclus cornutus,Zanclus cornutus,11.0
